epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,963.894,0.65438,0.56561,1.08789,0.69805,0.57561,0.91024,0.7034,1.37378,1.02346,2.25753,0.000474071,0.000474071,0.000474071
137,970.369,0.62626,0.52788,1.07701,0.88543,0.51667,0.92877,0.71325,1.30242,0.89054,2.09954,0.000466997,0.000466997,0.000466997
138,975.891,0.669,0.54409,1.07798,0.9969,0.47676,0.94036,0.72617,1.27939,0.9139,2.08452,0.000459924,0.000459924,0.000459924
139,984.316,0.68912,0.66269,1.13242,0.76193,0.61118,0.91493,0.67901,1.25839,1.00758,2.06477,0.00045285,0.00045285,0.00045285
140,989.766,0.63322,0.52449,1.05781,0.75954,0.56667,0.8797,0.61311,1.31387,1.16998,2.16609,0.000445777,0.000445777,0.000445777
141,995.733,0.63079,0.52795,1.06511,0.83272,0.54443,0.8991,0.64858,1.26367,1.06781,2.08313,0.000438703,0.000438703,0.000438703
142,1004.61,0.60532,0.50854,1.04036,0.72884,0.62262,0.88113,0.6577,1.31965,0.95051,2.18881,0.000431629,0.000431629,0.000431629
143,1010.19,0.63259,0.51143,1.07637,0.72807,0.57843,0.90257,0.65871,1.30866,0.99983,2.17603,0.000424556,0.000424556,0.000424556
144,1016.41,0.63199,0.52953,1.04699,0.73552,0.55259,0.66956,0.49392,1.27603,1.07212,1.97776,0.000417482,0.000417482,0.000417482
145,1024.82,0.65031,0.54524,1.07952,0.66875,0.92333,0.88831,0.6528,1.35095,1.07829,2.09485,0.000410409,0.000410409,0.000410409
146,1030.45,0.59424,0.48682,1.03266,0.64504,0.96041,0.90682,0.66631,1.44543,1.06502,2.22884,0.000403335,0.000403335,0.000403335
147,1037.16,0.61822,0.50472,1.04579,0.68408,0.8951,0.87982,0.67865,1.42628,1.11449,2.1628,0.000396262,0.000396262,0.000396262
148,1045.16,0.63834,0.52531,1.04363,0.8287,0.75,0.87037,0.67065,1.38007,1.0527,2.15512,0.000389188,0.000389188,0.000389188
149,1050.59,0.64675,0.53727,1.0863,0.92715,0.75419,0.89681,0.67986,1.35653,0.99189,2.16225,0.000382115,0.000382115,0.000382115
150,1058.05,0.64061,0.52657,1.06443,0.90765,0.78306,0.92966,0.68781,1.32822,1.07883,2.17468,0.000375041,0.000375041,0.000375041
151,1065.58,0.59854,0.5109,1.05699,0.89776,0.78913,0.92915,0.69171,1.29657,1.04014,2.18681,0.000367967,0.000367967,0.000367967
152,1071.1,0.58403,0.48381,1.05216,0.77389,0.81667,0.90819,0.69476,1.33941,1.09107,2.15977,0.000360894,0.000360894,0.000360894
153,1079.12,0.6129,0.51184,1.07574,0.92646,0.77583,0.91226,0.68157,1.37205,0.91436,2.21399,0.00035382,0.00035382,0.00035382
154,1085.63,0.62593,0.52769,1.05498,0.89421,0.85,0.92306,0.67642,1.29881,0.84788,2.15504,0.000346747,0.000346747,0.000346747
